Block,Treatment ,FStraw,FGrain,Yield,Puptake,Precovery,PUE,PO4_10,WatSolP_10,ResinP_10,pH_10,EC_10,OC_10,PO4_20,WatSolP_20,ResinP_20,pH_20,EC_20,OC_20,PO4_30,WatSolP_30,ResinP_30,pH_30,EC_30,OC_30,LPO4,ResinPO4,CharPerc,CharPRate
Block1,Biochar10tha,2201.6,394,2595.6,5.73,-8.18,51.74,,4.15,,6.89,0.16,2.14,2.59,0.6,0.07,6.95,0.17,1.36,2.17,1.8,0.02,7.09,0.41,1.11,0.00012,0.222,0.17,17
Block2,Biochar10tha,2889.2,513.4,3402.6,9.59,14.53,99.21,18.41,5.75,0.61,6.91,0.16,2.47,5.67,3.05,0.13,7,0.15,1.64,3.3,3.6,0,7.54,0.94,0.97,0.0045,0.326,0.171,16.99
Block3,Biochar10tha,1904.2,336.4,2240.6,6.43,-4.08,30.86,21.64,6.95,0.62,,0.27,1.92,5.32,2.1,0.18,6.84,0.16,1.41,2.8,0.25,0,7.27,1.68,,,,0.169,17.01
Block4,Biochar10tha,1946.6,387.4,2334,7.16,0.23,36.35,19.45,6,0.56,6.96,0.26,2.1,1.47,0.05,0.04,6.89,0.21,0.98,2.19,0.25,0.03,7.55,0.32,0.96,0.02047,0.336,0.17,17
Block1,Biochar10thaTSP,2890.6,798.6,3689.2,8.93,4.3,46.98,13.05,4.55,0.41,6.92,0.22,,2.95,0.75,0.04,6.95,0.15,1.37,1.5,1.4,0.03,7.1,0.17,1.03,0.00187,0.231,0.17,42
Block2,Biochar10thaTSP,2324,470.6,2794.6,7.87,1.79,25.68,16.6,5.85,0.63,6.46,0.24,1.86,3.36,0.95,0.11,6.55,0.17,1.08,1.21,0.4,0,6.88,,0.79,0.00333,0.145,0.171,42.01
Block3,Biochar10thaTSP,1751.8,309.4,2061.2,6.74,-0.89,8.22,19.22,5.55,0.87,6.75,0.21,1.77,3.29,0.45,0.09,6.74,0.18,1.28,1.26,0,0.04,7.05,0.2,0.81,0.05321,0.713,0.169,41.99
Block4,Biochar10thaTSP,2134.2,359.2,2493.4,8.33,2.88,18.51,14.85,5.35,0.36,6.71,0.26,1.65,,0.5,0.03,7.15,0.27,0.92,,1.05,0,7.54,0.73,0.59,0.06214,0.311,0.17,42
Block1,Biochar25kgPha,2486.2,600.2,3086.4,6.63,-1.94,54.81,10.92,4.95,0.32,7.06,0.15,2.16,3.45,1.9,0.05,6.97,0.11,1.29,3.11,,0.06,7.09,0.15,1.07,0.01728,0.368,0.17,25
Block2,Biochar25kgPha,,,,9.19,,111.31,10.83,3.55,0.32,6.52,0.2,1.98,1.82,0.25,0.05,6.46,0.17,0.99,2.73,0.15,0.02,6.68,0.28,1.03,,,0.171,25.01
Block3,Biochar25kgPha,1981,355.6,2336.6,6.53,-2.36,24.82,18.6,6.25,,6.32,0.17,1.9,5.26,1.95,,6.68,0.15,1.22,2.12,0.35,0,7.54,0.51,,0.0164,1.072,0.169,24.99
Block4,Biochar25kgPha,2289,470.8,2759.8,6.92,-0.81,41.75,17.65,4.15,0.38,6.85,,1.82,1.01,0.2,0.03,7.25,0.22,1.01,1.3,0.3,0,7.25,,0.74,0.00824,0.413,0.17,25
Block1,Control,3549.6,1381.4,4931,8.24,,NA,,,0.16,7.19,0.18,1.86,2.69,0.45,0.02,6.74,,1.29,2.46,0,0,6.85,,1.01,0.00244,0.093,NA,NA
Block2,Control,3534,912.8,4446.8,9.34,,NA,18.16,6.5,0.29,6.95,0.17,1.89,6.42,1.4,0.24,6.93,0.08,1.46,2.07,1.2,0.05,7.39,0.26,1.04,0.0171,0.291,NA,NA
Block3,Control,1922,306.6,2228.6,5.79,,NA,20.88,8.15,0.72,6.42,0.19,1.68,5.47,1.3,0.12,6.46,0.15,1.24,1.7,1.3,0.03,6.85,0.26,0.74,0.01535,0.327,NA,NA
Block4,Control,1791.4,330.6,2122,5.11,,NA,18.48,6.5,0.74,6.53,0.18,1.55,2.88,0.25,0.08,6.78,0.16,0.83,1.54,0.15,0,7.43,0.67,0.72,0.03707,0.438,NA,NA
Block1,Phosphorus,1866.4,688,2554.4,5.96,-4.66,33.53,12.14,5.2,,7.08,0.18,1.95,2.06,,0.03,6.91,0.39,1.48,1.63,0.05,0,7,1.53,0.89,0.00312,0.167,19.4,25
Block2,Phosphorus,2528.8,442.4,2971.2,8.26,4.56,50.21,17.48,6.05,0.54,6.81,0.14,1.81,5.91,1.3,0.17,6.8,0.1,1.62,1.14,1.1,0.02,7.16,0.3,0.94,0.17796,1.392,19.39,25.01
Block3,Phosphorus,2452,493.2,2945.2,7.67,2.22,49.17,19.15,8,0.51,6.54,0.19,,5.28,1.35,0.12,6.65,0.12,1.05,2.63,1.1,0.05,6.79,0.17,0.74,,,19.41,24.99
Block4,Phosphorus,1813.4,252,2065.4,5.66,-5.83,13.97,13.92,4.9,0.56,6.91,0.18,1.62,3.08,1.5,0.06,7.35,0.39,1.05,2.87,0.3,0,7.09,,0.6,0.05221,0.438,19.4,25
